,tcu,wcu,tlam,nlam,aln,tsu8,real_or_synthetic
31,1.0,0.0,3.0,0.0,1.0,2.0,Generated samples
32,2.0,1.0,2.0,1.0,0.0,2.0,Generated samples
33,2.0,1.0,3.0,2.0,0.0,2.0,Generated samples
34,2.0,1.0,2.0,1.0,0.0,0.0,Generated samples
35,2.0,1.0,3.0,1.0,1.0,0.0,Generated samples
36,2.0,0.0,2.0,1.0,0.0,2.0,Generated samples
37,2.0,1.0,2.0,1.0,0.0,0.0,Generated samples
38,0.0,1.0,1.0,2.0,0.0,2.0,Generated samples
39,2.0,1.0,3.0,0.0,0.0,2.0,Generated samples
40,1.0,0.0,0.0,2.0,1.0,1.0,Generated samples
41,2.0,1.0,1.0,1.0,1.0,1.0,Generated samples
42,2.0,0.0,1.0,1.0,0.0,0.0,Generated samples
43,1.0,0.0,3.0,1.0,1.0,1.0,Generated samples
44,1.0,1.0,0.0,2.0,1.0,1.0,Generated samples
45,2.0,0.0,0.0,1.0,0.0,2.0,Generated samples
46,2.0,1.0,0.0,2.0,1.0,0.0,Generated samples
47,0.0,0.0,1.0,1.0,1.0,2.0,Generated samples
48,2.0,1.0,1.0,1.0,0.0,2.0,Generated samples
49,2.0,1.0,0.0,2.0,1.0,2.0,Generated samples
50,0.0,0.0,2.0,1.0,0.0,0.0,Generated samples
51,2.0,1.0,1.0,1.0,0.0,0.0,Generated samples
52,1.0,1.0,2.0,1.0,1.0,0.0,Generated samples
53,2.0,1.0,0.0,2.0,1.0,0.0,Generated samples
54,2.0,0.0,2.0,2.0,0.0,0.0,Generated samples
55,0.0,0.0,1.0,1.0,1.0,0.0,Generated samples
56,1.0,1.0,1.0,0.0,0.0,0.0,Generated samples
57,2.0,1.0,0.0,0.0,1.0,1.0,Generated samples
58,2.0,0.0,2.0,1.0,1.0,0.0,Generated samples
59,1.0,1.0,1.0,2.0,1.0,2.0,Generated samples
60,2.0,1.0,1.0,0.0,1.0,1.0,Generated samples
61,1.0,1.0,0.0,1.0,0.0,0.0,Generated samples
62,2.0,0.0,0.0,0.0,1.0,2.0,Generated samples
63,2.0,0.0,1.0,1.0,1.0,0.0,Generated samples
64,1.0,0.0,2.0,0.0,0.0,0.0,Generated samples
65,1.0,0.0,3.0,0.0,1.0,0.0,Generated samples
66,1.0,0.0,1.0,2.0,1.0,1.0,Generated samples
67,2.0,0.0,3.0,1.0,0.0,0.0,Generated samples
68,1.0,0.0,2.0,0.0,1.0,0.0,Generated samples
69,1.0,0.0,0.0,2.0,0.0,0.0,Generated samples
70,1.0,0.0,2.0,1.0,1.0,0.0,Generated samples
71,2.0,1.0,3.0,2.0,0.0,2.0,Generated samples
72,1.0,1.0,1.0,2.0,1.0,1.0,Generated samples
73,2.0,1.0,1.0,2.0,1.0,2.0,Generated samples
74,2.0,0.0,2.0,1.0,1.0,2.0,Generated samples
75,1.0,1.0,1.0,0.0,1.0,2.0,Generated samples
76,1.0,1.0,2.0,0.0,0.0,2.0,Generated samples
77,0.0,0.0,2.0,2.0,0.0,0.0,Generated samples
78,1.0,0.0,0.0,2.0,0.0,0.0,Generated samples
79,1.0,0.0,1.0,0.0,0.0,0.0,Generated samples
80,0.0,0.0,2.0,0.0,0.0,1.0,Generated samples
81,1.0,1.0,0.0,2.0,1.0,2.0,Generated samples
82,0.0,1.0,1.0,2.0,0.0,2.0,Generated samples
83,2.0,1.0,1.0,0.0,1.0,0.0,Generated samples
84,2.0,1.0,1.0,1.0,1.0,0.0,Generated samples
85,1.0,1.0,1.0,2.0,0.0,0.0,Generated samples
86,1.0,0.0,2.0,2.0,1.0,1.0,Generated samples
87,1.0,0.0,1.0,2.0,0.0,2.0,Generated samples
88,1.0,1.0,0.0,2.0,0.0,2.0,Generated samples
89,2.0,0.0,3.0,2.0,0.0,0.0,Generated samples
90,1.0,1.0,1.0,1.0,0.0,1.0,Generated samples
91,2.0,1.0,3.0,1.0,1.0,1.0,Generated samples
92,1.0,1.0,0.0,1.0,1.0,1.0,Generated samples
93,1.0,0.0,2.0,1.0,0.0,2.0,Generated samples
94,2.0,1.0,0.0,0.0,0.0,2.0,Generated samples
95,1.0,0.0,1.0,0.0,1.0,1.0,Generated samples
96,0.0,1.0,0.0,2.0,1.0,0.0,Generated samples
97,0.0,0.0,1.0,1.0,1.0,0.0,Generated samples
98,1.0,0.0,1.0,0.0,0.0,0.0,Generated samples
99,2.0,0.0,2.0,1.0,0.0,0.0,Generated samples
100,2.0,0.0,2.0,2.0,1.0,0.0,Generated samples
101,1.0,1.0,1.0,0.0,1.0,2.0,Generated samples
102,0.0,1.0,1.0,2.0,0.0,1.0,Generated samples
103,2.0,1.0,0.0,0.0,0.0,0.0,Generated samples
104,2.0,1.0,3.0,1.0,1.0,2.0,Generated samples
105,1.0,0.0,1.0,2.0,1.0,0.0,Generated samples
106,2.0,1.0,3.0,1.0,1.0,2.0,Generated samples
107,2.0,1.0,1.0,2.0,1.0,2.0,Generated samples
108,2.0,1.0,0.0,2.0,1.0,0.0,Generated samples
109,2.0,0.0,1.0,0.0,1.0,1.0,Generated samples
110,2.0,0.0,3.0,1.0,1.0,1.0,Generated samples
111,2.0,0.0,3.0,0.0,1.0,1.0,Generated samples
112,0.0,1.0,0.0,0.0,1.0,1.0,Generated samples
113,1.0,1.0,0.0,2.0,1.0,0.0,Generated samples
114,2.0,1.0,1.0,2.0,1.0,1.0,Generated samples
115,1.0,1.0,3.0,1.0,0.0,2.0,Generated samples
116,2.0,0.0,3.0,0.0,1.0,1.0,Generated samples
117,2.0,1.0,2.0,2.0,0.0,0.0,Generated samples
118,2.0,1.0,1.0,0.0,1.0,0.0,Generated samples
119,1.0,1.0,2.0,0.0,1.0,0.0,Generated samples
120,2.0,0.0,3.0,2.0,0.0,2.0,Generated samples
121,2.0,0.0,1.0,2.0,0.0,1.0,Generated samples
122,0.0,0.0,1.0,2.0,1.0,1.0,Generated samples
123,2.0,0.0,0.0,1.0,1.0,0.0,Generated samples
124,2.0,0.0,0.0,1.0,1.0,0.0,Generated samples
125,2.0,1.0,1.0,2.0,1.0,0.0,Generated samples
126,1.0,1.0,0.0,1.0,0.0,2.0,Generated samples
127,2.0,0.0,0.0,2.0,0.0,2.0,Generated samples
128,2.0,0.0,1.0,1.0,0.0,2.0,Generated samples
129,1.0,0.0,1.0,1.0,1.0,2.0,Generated samples
130,1.0,1.0,1.0,2.0,0.0,1.0,Generated samples
131,0.0,1.0,2.0,1.0,1.0,1.0,Generated samples
132,1.0,1.0,1.0,1.0,1.0,1.0,Generated samples
133,2.0,1.0,1.0,1.0,1.0,0.0,Generated samples
134,1.0,1.0,1.0,2.0,1.0,0.0,Generated samples
135,1.0,1.0,2.0,2.0,1.0,0.0,Generated samples
136,2.0,0.0,0.0,1.0,1.0,0.0,Generated samples
137,2.0,0.0,1.0,2.0,1.0,0.0,Generated samples
138,1.0,0.0,3.0,2.0,1.0,2.0,Generated samples
139,1.0,0.0,2.0,1.0,1.0,2.0,Generated samples
140,1.0,0.0,1.0,2.0,1.0,2.0,Generated samples
141,2.0,0.0,1.0,2.0,1.0,2.0,Generated samples
142,2.0,1.0,3.0,0.0,1.0,2.0,Generated samples
143,2.0,1.0,1.0,0.0,1.0,0.0,Generated samples
144,0.0,0.0,2.0,0.0,1.0,2.0,Generated samples
145,0.0,1.0,0.0,2.0,1.0,2.0,Generated samples
146,2.0,1.0,3.0,0.0,0.0,2.0,Generated samples
147,1.0,1.0,1.0,0.0,1.0,2.0,Generated samples
148,1.0,1.0,1.0,2.0,0.0,1.0,Generated samples
149,0.0,1.0,3.0,1.0,1.0,0.0,Generated samples
150,1.0,1.0,1.0,0.0,1.0,2.0,Generated samples
151,2.0,0.0,0.0,2.0,1.0,0.0,Generated samples
152,1.0,1.0,3.0,2.0,0.0,1.0,Generated samples
153,2.0,1.0,0.0,0.0,0.0,2.0,Generated samples
154,1.0,0.0,3.0,1.0,1.0,1.0,Generated samples
155,1.0,1.0,0.0,1.0,0.0,0.0,Generated samples
156,2.0,1.0,1.0,2.0,0.0,0.0,Generated samples
157,0.0,0.0,2.0,2.0,0.0,0.0,Generated samples
158,2.0,1.0,0.0,1.0,1.0,0.0,Generated samples
159,1.0,0.0,3.0,1.0,1.0,2.0,Generated samples
160,1.0,1.0,0.0,2.0,0.0,1.0,Generated samples
161,2.0,1.0,1.0,1.0,1.0,0.0,Generated samples
162,2.0,1.0,2.0,1.0,1.0,0.0,Generated samples
163,2.0,1.0,3.0,1.0,0.0,2.0,Generated samples
164,1.0,1.0,0.0,1.0,0.0,2.0,Generated samples
165,1.0,1.0,2.0,2.0,0.0,0.0,Generated samples
166,1.0,1.0,1.0,1.0,1.0,1.0,Generated samples
167,2.0,0.0,1.0,0.0,0.0,0.0,Generated samples
168,1.0,0.0,1.0,1.0,1.0,1.0,Generated samples
169,1.0,0.0,1.0,0.0,1.0,1.0,Generated samples
170,0.0,0.0,2.0,0.0,1.0,0.0,Generated samples
171,1.0,0.0,1.0,2.0,0.0,0.0,Generated samples
172,1.0,0.0,1.0,2.0,1.0,0.0,Generated samples
173,2.0,1.0,2.0,0.0,1.0,2.0,Generated samples
174,0.0,1.0,1.0,0.0,0.0,0.0,Generated samples
175,2.0,1.0,0.0,0.0,1.0,1.0,Generated samples
176,0.0,1.0,0.0,2.0,0.0,0.0,Generated samples
177,1.0,1.0,0.0,2.0,0.0,2.0,Generated samples
178,1.0,1.0,3.0,1.0,1.0,0.0,Generated samples
179,1.0,1.0,1.0,1.0,0.0,0.0,Generated samples
180,0.0,0.0,2.0,0.0,1.0,2.0,Generated samples
181,0.0,1.0,0.0,2.0,1.0,0.0,Generated samples
182,1.0,1.0,0.0,0.0,1.0,0.0,Generated samples
183,1.0,1.0,2.0,2.0,1.0,2.0,Generated samples
184,1.0,1.0,1.0,2.0,1.0,1.0,Generated samples
185,1.0,1.0,1.0,2.0,1.0,1.0,Generated samples
186,0.0,1.0,0.0,0.0,0.0,0.0,Generated samples
187,2.0,1.0,1.0,2.0,1.0,1.0,Generated samples
188,0.0,0.0,3.0,2.0,0.0,0.0,Generated samples
189,1.0,1.0,1.0,0.0,1.0,1.0,Generated samples
190,1.0,1.0,0.0,2.0,1.0,0.0,Generated samples
191,1.0,1.0,3.0,0.0,0.0,0.0,Generated samples
192,1.0,0.0,1.0,2.0,1.0,0.0,Generated samples
193,2.0,0.0,0.0,1.0,1.0,0.0,Generated samples
194,0.0,1.0,1.0,2.0,1.0,1.0,Generated samples
195,1.0,1.0,3.0,0.0,0.0,1.0,Generated samples
196,2.0,0.0,3.0,2.0,1.0,1.0,Generated samples
197,2.0,1.0,0.0,2.0,1.0,0.0,Generated samples
198,0.0,0.0,0.0,2.0,1.0,0.0,Generated samples
199,2.0,1.0,3.0,0.0,1.0,2.0,Generated samples
200,1.0,1.0,0.0,1.0,1.0,2.0,Generated samples
201,2.0,0.0,2.0,0.0,0.0,0.0,Generated samples
202,1.0,1.0,2.0,2.0,1.0,0.0,Generated samples
203,0.0,1.0,2.0,0.0,1.0,1.0,Generated samples
204,2.0,0.0,1.0,0.0,0.0,2.0,Generated samples
205,2.0,1.0,1.0,0.0,0.0,2.0,Generated samples
206,1.0,1.0,0.0,2.0,0.0,0.0,Generated samples
207,2.0,0.0,1.0,0.0,0.0,0.0,Generated samples
208,1.0,0.0,2.0,1.0,0.0,0.0,Generated samples
209,1.0,1.0,0.0,1.0,1.0,0.0,Generated samples
210,1.0,0.0,3.0,2.0,1.0,2.0,Generated samples
211,0.0,0.0,2.0,1.0,1.0,0.0,Generated samples
212,2.0,1.0,1.0,1.0,0.0,0.0,Generated samples
213,1.0,1.0,0.0,2.0,0.0,0.0,Generated samples
214,2.0,0.0,2.0,2.0,1.0,0.0,Generated samples
215,0.0,1.0,2.0,1.0,1.0,1.0,Generated samples
216,2.0,1.0,2.0,2.0,0.0,0.0,Generated samples
217,1.0,0.0,2.0,2.0,0.0,2.0,Generated samples
218,1.0,1.0,1.0,1.0,1.0,0.0,Generated samples
219,1.0,0.0,0.0,2.0,0.0,1.0,Generated samples
220,1.0,0.0,0.0,2.0,0.0,2.0,Generated samples
221,2.0,1.0,3.0,0.0,0.0,1.0,Generated samples
222,2.0,1.0,2.0,0.0,1.0,2.0,Generated samples
223,2.0,0.0,0.0,1.0,0.0,0.0,Generated samples
224,1.0,1.0,0.0,1.0,1.0,0.0,Generated samples
225,0.0,1.0,0.0,2.0,0.0,2.0,Generated samples
226,0.0,1.0,3.0,0.0,1.0,0.0,Generated samples
227,0.0,0.0,1.0,2.0,1.0,0.0,Generated samples
228,1.0,0.0,1.0,0.0,0.0,1.0,Generated samples
229,1.0,1.0,1.0,2.0,1.0,1.0,Generated samples
230,2.0,0.0,0.0,2.0,1.0,1.0,Generated samples
231,1.0,0.0,1.0,1.0,1.0,2.0,Generated samples
232,1.0,1.0,1.0,2.0,1.0,1.0,Generated samples
233,2.0,1.0,1.0,1.0,0.0,0.0,Generated samples
234,1.0,0.0,0.0,1.0,0.0,0.0,Generated samples
235,2.0,0.0,0.0,1.0,1.0,2.0,Generated samples
236,2.0,1.0,0.0,2.0,1.0,1.0,Generated samples
237,1.0,1.0,0.0,2.0,1.0,1.0,Generated samples
238,1.0,1.0,0.0,2.0,1.0,2.0,Generated samples
239,2.0,1.0,0.0,0.0,1.0,0.0,Generated samples
240,2.0,1.0,3.0,1.0,0.0,0.0,Generated samples
241,1.0,1.0,1.0,2.0,1.0,0.0,Generated samples
242,1.0,0.0,2.0,1.0,1.0,0.0,Generated samples
243,1.0,0.0,1.0,2.0,1.0,0.0,Generated samples
244,1.0,0.0,0.0,0.0,1.0,2.0,Generated samples
245,1.0,1.0,0.0,1.0,1.0,2.0,Generated samples
246,2.0,0.0,3.0,0.0,0.0,2.0,Generated samples
247,1.0,0.0,0.0,0.0,1.0,2.0,Generated samples
248,2.0,1.0,3.0,2.0,1.0,0.0,Generated samples
249,1.0,1.0,2.0,2.0,0.0,0.0,Generated samples
250,2.0,1.0,3.0,0.0,1.0,2.0,Generated samples
251,2.0,0.0,3.0,2.0,1.0,1.0,Generated samples
252,2.0,0.0,3.0,1.0,1.0,2.0,Generated samples
253,2.0,1.0,1.0,2.0,0.0,0.0,Generated samples
254,2.0,1.0,0.0,0.0,0.0,0.0,Generated samples
255,2.0,1.0,0.0,1.0,1.0,2.0,Generated samples
256,2.0,1.0,0.0,2.0,1.0,2.0,Generated samples
257,2.0,0.0,0.0,2.0,0.0,1.0,Generated samples
258,2.0,0.0,3.0,0.0,1.0,0.0,Generated samples
259,1.0,0.0,1.0,1.0,1.0,0.0,Generated samples
260,1.0,0.0,0.0,1.0,0.0,1.0,Generated samples
261,2.0,1.0,2.0,2.0,1.0,0.0,Generated samples
262,1.0,1.0,2.0,0.0,1.0,2.0,Generated samples
263,1.0,0.0,2.0,0.0,1.0,0.0,Generated samples
264,2.0,1.0,1.0,0.0,0.0,2.0,Generated samples
265,2.0,0.0,2.0,2.0,1.0,0.0,Generated samples
266,0.0,0.0,1.0,0.0,0.0,1.0,Generated samples
267,2.0,1.0,0.0,0.0,0.0,0.0,Generated samples
268,0.0,1.0,1.0,1.0,0.0,2.0,Generated samples
269,2.0,0.0,0.0,2.0,0.0,1.0,Generated samples
270,2.0,0.0,2.0,1.0,1.0,0.0,Generated samples
271,2.0,1.0,2.0,2.0,0.0,2.0,Generated samples
272,1.0,1.0,1.0,2.0,0.0,0.0,Generated samples
273,2.0,1.0,3.0,2.0,0.0,0.0,Generated samples
274,1.0,0.0,1.0,0.0,1.0,1.0,Generated samples
275,2.0,0.0,0.0,1.0,0.0,0.0,Generated samples
276,0.0,0.0,2.0,1.0,1.0,0.0,Generated samples
277,2.0,1.0,2.0,2.0,0.0,1.0,Generated samples
278,2.0,0.0,2.0,1.0,1.0,2.0,Generated samples
279,1.0,1.0,1.0,1.0,1.0,0.0,Generated samples
280,1.0,0.0,0.0,0.0,1.0,1.0,Generated samples
281,2.0,0.0,3.0,2.0,0.0,0.0,Generated samples
282,2.0,0.0,1.0,2.0,1.0,1.0,Generated samples
283,2.0,1.0,2.0,1.0,0.0,0.0,Generated samples
284,0.0,1.0,2.0,2.0,1.0,1.0,Generated samples
285,0.0,1.0,0.0,1.0,1.0,0.0,Generated samples
286,1.0,0.0,1.0,0.0,1.0,2.0,Generated samples
287,2.0,0.0,2.0,1.0,0.0,0.0,Generated samples
288,1.0,1.0,2.0,0.0,1.0,0.0,Generated samples
289,1.0,0.0,0.0,2.0,1.0,1.0,Generated samples
290,1.0,0.0,1.0,1.0,0.0,1.0,Generated samples
291,2.0,1.0,0.0,1.0,0.0,2.0,Generated samples
292,2.0,1.0,0.0,2.0,1.0,2.0,Generated samples
293,0.0,0.0,0.0,1.0,0.0,2.0,Generated samples
294,2.0,1.0,2.0,0.0,1.0,2.0,Generated samples
295,2.0,1.0,1.0,1.0,1.0,1.0,Generated samples
296,2.0,1.0,1.0,1.0,0.0,0.0,Generated samples
297,2.0,1.0,1.0,2.0,1.0,0.0,Generated samples
298,0.0,0.0,0.0,2.0,1.0,0.0,Generated samples
299,0.0,1.0,3.0,2.0,0.0,2.0,Generated samples
300,1.0,0.0,3.0,0.0,1.0,2.0,Generated samples
301,1.0,1.0,1.0,0.0,1.0,0.0,Generated samples
302,2.0,0.0,2.0,1.0,1.0,0.0,Generated samples
303,1.0,0.0,2.0,2.0,1.0,1.0,Generated samples
304,2.0,1.0,1.0,1.0,0.0,2.0,Generated samples
305,2.0,0.0,2.0,2.0,0.0,0.0,Generated samples
306,2.0,1.0,0.0,0.0,0.0,0.0,Generated samples
307,1.0,0.0,2.0,0.0,0.0,0.0,Generated samples
308,2.0,1.0,3.0,1.0,1.0,0.0,Generated samples
309,1.0,1.0,2.0,2.0,1.0,0.0,Generated samples
310,2.0,1.0,1.0,0.0,0.0,0.0,Generated samples
311,2.0,1.0,3.0,2.0,0.0,2.0,Generated samples
312,1.0,0.0,0.0,1.0,0.0,0.0,Generated samples
313,2.0,0.0,0.0,2.0,0.0,2.0,Generated samples
314,2.0,1.0,2.0,1.0,1.0,0.0,Generated samples
315,0.0,0.0,3.0,1.0,0.0,0.0,Generated samples
316,1.0,1.0,1.0,1.0,1.0,1.0,Generated samples
317,2.0,1.0,0.0,1.0,0.0,2.0,Generated samples
318,1.0,1.0,2.0,2.0,1.0,2.0,Generated samples
319,2.0,0.0,1.0,2.0,1.0,1.0,Generated samples
320,0.0,0.0,1.0,2.0,1.0,2.0,Generated samples
321,2.0,1.0,1.0,0.0,0.0,1.0,Generated samples
322,2.0,0.0,3.0,1.0,1.0,2.0,Generated samples
323,1.0,0.0,1.0,1.0,0.0,1.0,Generated samples
324,2.0,1.0,0.0,2.0,1.0,1.0,Generated samples
325,1.0,1.0,1.0,0.0,1.0,2.0,Generated samples
326,2.0,0.0,3.0,0.0,1.0,2.0,Generated samples
327,2.0,1.0,1.0,0.0,1.0,2.0,Generated samples
328,1.0,0.0,0.0,2.0,1.0,0.0,Generated samples
329,1.0,0.0,2.0,2.0,1.0,2.0,Generated samples
330,1.0,1.0,1.0,0.0,1.0,0.0,Generated samples
331,1.0,0.0,3.0,0.0,0.0,1.0,Generated samples
332,2.0,0.0,0.0,0.0,0.0,0.0,Generated samples
333,2.0,0.0,3.0,1.0,1.0,0.0,Generated samples
334,2.0,1.0,1.0,2.0,1.0,2.0,Generated samples
335,2.0,1.0,1.0,0.0,1.0,0.0,Generated samples
336,1.0,1.0,1.0,1.0,1.0,1.0,Generated samples
337,1.0,1.0,2.0,1.0,0.0,0.0,Generated samples
338,0.0,1.0,0.0,2.0,1.0,2.0,Generated samples
339,1.0,1.0,1.0,2.0,1.0,0.0,Generated samples
340,1.0,0.0,1.0,1.0,1.0,1.0,Generated samples
341,2.0,1.0,1.0,0.0,0.0,0.0,Generated samples
342,1.0,1.0,1.0,1.0,0.0,2.0,Generated samples
343,2.0,1.0,2.0,1.0,1.0,0.0,Generated samples
344,1.0,1.0,1.0,2.0,0.0,1.0,Generated samples
345,2.0,0.0,0.0,1.0,0.0,0.0,Generated samples
346,2.0,1.0,3.0,1.0,0.0,0.0,Generated samples
347,2.0,1.0,1.0,2.0,1.0,1.0,Generated samples
348,0.0,0.0,0.0,1.0,1.0,0.0,Generated samples
349,1.0,1.0,0.0,1.0,1.0,0.0,Generated samples
350,1.0,0.0,0.0,0.0,1.0,2.0,Generated samples
351,2.0,0.0,0.0,1.0,0.0,1.0,Generated samples
352,1.0,1.0,3.0,1.0,1.0,0.0,Generated samples
353,1.0,1.0,0.0,0.0,1.0,1.0,Generated samples
354,2.0,0.0,3.0,0.0,1.0,0.0,Generated samples
355,0.0,1.0,1.0,2.0,1.0,0.0,Generated samples
356,1.0,0.0,2.0,1.0,0.0,0.0,Generated samples
357,0.0,1.0,2.0,0.0,1.0,1.0,Generated samples
358,1.0,0.0,0.0,1.0,1.0,0.0,Generated samples
359,1.0,1.0,2.0,2.0,0.0,2.0,Generated samples
360,1.0,0.0,1.0,2.0,1.0,0.0,Generated samples
361,1.0,0.0,1.0,0.0,1.0,0.0,Generated samples
362,2.0,0.0,2.0,0.0,1.0,2.0,Generated samples
363,1.0,1.0,3.0,1.0,0.0,1.0,Generated samples
364,2.0,0.0,1.0,0.0,0.0,0.0,Generated samples
365,2.0,0.0,3.0,1.0,1.0,1.0,Generated samples
366,2.0,1.0,1.0,2.0,0.0,0.0,Generated samples
367,2.0,0.0,0.0,2.0,0.0,0.0,Generated samples
368,1.0,1.0,0.0,2.0,0.0,0.0,Generated samples
369,1.0,0.0,1.0,0.0,0.0,0.0,Generated samples
370,0.0,0.0,1.0,1.0,0.0,0.0,Generated samples
371,1.0,1.0,3.0,0.0,1.0,0.0,Generated samples
372,2.0,0.0,0.0,2.0,0.0,0.0,Generated samples
373,1.0,0.0,0.0,1.0,0.0,2.0,Generated samples
374,2.0,0.0,0.0,2.0,1.0,0.0,Generated samples
375,1.0,1.0,1.0,0.0,1.0,0.0,Generated samples
376,1.0,0.0,0.0,0.0,1.0,1.0,Generated samples
377,2.0,0.0,2.0,2.0,1.0,0.0,Generated samples
378,2.0,0.0,2.0,2.0,1.0,1.0,Generated samples
379,2.0,0.0,1.0,0.0,1.0,1.0,Generated samples
380,2.0,1.0,0.0,1.0,0.0,2.0,Generated samples
381,1.0,0.0,2.0,1.0,0.0,2.0,Generated samples
382,2.0,1.0,2.0,1.0,0.0,0.0,Generated samples
383,1.0,0.0,0.0,0.0,1.0,0.0,Generated samples
384,2.0,0.0,1.0,0.0,1.0,2.0,Generated samples
385,1.0,0.0,3.0,2.0,1.0,1.0,Generated samples
386,0.0,1.0,0.0,2.0,0.0,1.0,Generated samples
387,2.0,1.0,1.0,2.0,1.0,2.0,Generated samples
388,2.0,1.0,2.0,2.0,1.0,0.0,Generated samples
389,1.0,1.0,2.0,1.0,0.0,0.0,Generated samples
390,2.0,1.0,2.0,0.0,1.0,1.0,Generated samples
391,0.0,1.0,2.0,0.0,1.0,0.0,Generated samples
392,1.0,0.0,2.0,2.0,0.0,0.0,Generated samples
393,0.0,0.0,0.0,2.0,0.0,2.0,Generated samples
394,1.0,1.0,1.0,1.0,1.0,0.0,Generated samples
395,2.0,0.0,2.0,0.0,0.0,0.0,Generated samples
396,1.0,1.0,1.0,1.0,1.0,2.0,Generated samples
397,0.0,0.0,3.0,0.0,0.0,0.0,Generated samples
398,0.0,0.0,0.0,2.0,1.0,0.0,Generated samples
399,2.0,1.0,1.0,2.0,1.0,1.0,Generated samples
400,1.0,1.0,2.0,2.0,0.0,0.0,Generated samples
401,2.0,1.0,0.0,0.0,0.0,0.0,Generated samples
402,2.0,0.0,1.0,1.0,1.0,2.0,Generated samples
403,2.0,0.0,2.0,0.0,0.0,2.0,Generated samples
404,2.0,0.0,0.0,2.0,1.0,0.0,Generated samples
405,0.0,0.0,0.0,2.0,1.0,2.0,Generated samples
406,1.0,0.0,0.0,1.0,0.0,1.0,Generated samples
407,2.0,1.0,1.0,2.0,0.0,2.0,Generated samples
408,1.0,0.0,3.0,2.0,1.0,0.0,Generated samples
409,2.0,1.0,3.0,2.0,0.0,1.0,Generated samples
410,0.0,1.0,0.0,0.0,0.0,0.0,Generated samples
411,1.0,1.0,2.0,1.0,0.0,0.0,Generated samples
412,1.0,0.0,0.0,2.0,1.0,2.0,Generated samples
413,2.0,1.0,0.0,0.0,1.0,0.0,Generated samples
414,1.0,0.0,1.0,0.0,1.0,0.0,Generated samples
415,1.0,1.0,1.0,0.0,1.0,1.0,Generated samples
416,2.0,1.0,2.0,1.0,1.0,0.0,Generated samples
417,1.0,1.0,3.0,2.0,0.0,0.0,Generated samples
418,2.0,0.0,2.0,1.0,1.0,1.0,Generated samples
419,1.0,0.0,3.0,0.0,0.0,1.0,Generated samples
420,1.0,0.0,0.0,2.0,0.0,0.0,Generated samples
421,2.0,0.0,1.0,0.0,1.0,0.0,Generated samples
422,0.0,0.0,2.0,1.0,1.0,2.0,Generated samples
423,0.0,0.0,0.0,1.0,1.0,2.0,Generated samples
424,1.0,1.0,3.0,2.0,0.0,1.0,Generated samples
425,2.0,0.0,2.0,0.0,0.0,2.0,Generated samples
426,1.0,1.0,0.0,2.0,0.0,0.0,Generated samples
427,0.0,1.0,2.0,1.0,1.0,2.0,Generated samples
428,2.0,1.0,0.0,0.0,0.0,2.0,Generated samples
429,0.0,0.0,2.0,1.0,0.0,0.0,Generated samples
430,2.0,0.0,3.0,0.0,1.0,0.0,Generated samples
431,2.0,1.0,2.0,2.0,1.0,1.0,Generated samples
432,0.0,0.0,2.0,2.0,0.0,0.0,Generated samples
433,1.0,1.0,2.0,2.0,1.0,2.0,Generated samples
434,2.0,1.0,0.0,1.0,1.0,1.0,Generated samples
